CB,Date
20.59098243713379,2003-07-23
20.46107292175293,2003-07-24
20.837812423706055,2003-07-25
21.175586700439453,2003-07-28
21.37044906616211,2003-07-29
21.805660247802734,2003-07-30
21.428909301757812,2003-07-31
20.88977813720703,2003-08-01
21.0716609954834,2003-08-04
20.883281707763672,2003-08-05
21.16259765625,2003-08-06
20.707908630371094,2003-08-07
21.22754669189453,2003-08-08
21.292499542236328,2003-08-11
21.539335250854492,2003-08-12
21.27301597595215,2003-08-13
21.44190788269043,2003-08-14
21.519853591918945,2003-08-15
21.461393356323242,2003-08-18
21.318479537963867,2003-08-19
21.84463882446289,2003-08-20
21.84463882446289,2003-08-21
21.545833587646484,2003-08-22
21.467880249023438,2003-08-25
21.35095977783203,2003-08-26
21.175586700439453,2003-08-27
20.792339324951172,2003-08-28
20.91575813293457,2003-08-29
20.9807186126709,2003-09-02
20.9807186126709,2003-09-03
20.91575813293457,2003-09-04
21.1041316986084,2003-09-05
21.47437858581543,2003-09-08
21.28600311279297,2003-09-09
21.38343620300293,2003-09-10
20.967729568481445,2003-09-11
20.688419342041016,2003-09-12
20.785844802856445,2003-09-15
21.643264770507812,2003-09-16
21.727712631225586,2003-09-17
21.968046188354492,2003-09-18
21.773189544677734,2003-09-19
21.6237850189209,2003-09-22
21.896595001220703,2003-09-23
21.37044906616211,2003-09-24
21.318479537963867,2003-09-25
21.29888916015625,2003-09-26
21.939165115356445,2003-09-29
21.612491607666016,2003-09-30
22.193960189819336,2003-10-01
22.47490692138672,2003-10-02
22.866907119750977,2003-10-03
22.899578094482422,2003-10-06
22.755836486816406,2003-10-07
22.834238052368164,2003-10-08
22.53370475769043,2003-10-09
22.226638793945312,2003-10-10
22.527164459228516,2003-10-13
22.84076690673828,2003-10-14
23.004112243652344,2003-10-15
22.814632415771484,2003-10-16
22.187427520751953,2003-10-17
22.31156349182129,2003-10-20
22.49449920654297,2003-10-21
21.932632446289062,2003-10-22
22.33116340637207,2003-10-23
22.252763748168945,2003-10-24
22.3703670501709,2003-10-27
22.095962524414062,2003-10-28
23.422239303588867,2003-10-29
23.311176300048828,2003-10-30
23.520240783691406,2003-10-31
23.873046875,2003-11-03
23.572519302368164,2003-11-04
23.049837112426758,2003-11-05
23.056365966796875,2003-11-06
22.572900772094727,2003-11-07
22.76891326904297,2003-11-10
23.036766052246094,2003-11-11
23.2850284576416,2003-11-12
23.121702194213867,2003-11-13
22.788501739501953,2003-11-14
22.729700088500977,2003-11-17
22.520633697509766,2003-11-18
22.442224502563477,2003-11-19
22.31156349182129,2003-11-20
22.389957427978516,2003-11-21
22.553300857543945,2003-11-24
23.41571044921875,2003-11-25
23.683578491210938,2003-11-26
23.814252853393555,2003-11-28
24.219318389892578,2003-12-01
25.035987854003906,2003-12-02
24.826919555664062,2003-12-03
25.02292823791504,2003-12-04
25.290781021118164,2003-12-05
25.467195510864258,2003-12-08
25.34958839416504,2003-12-09
24.957595825195312,2003-12-10
25.15358543395996,2003-12-11
25.329986572265625,2003-12-12
24.8987979888916,2003-12-15
25.009851455688477,2003-12-16
25.179731369018555,2003-12-17
25.251604080200195,2003-12-18
25.898399353027344,2003-12-19
26.21854019165039,2003-12-22
26.434144973754883,2003-12-23
26.845748901367188,2003-12-24
26.845748901367188,2003-12-26
27.00984764099121,2003-12-29
27.101743698120117,2003-12-30
27.187068939208984,2003-12-31
27.00984764099121,2004-01-02
27.23957061767578,2004-01-05
27.160808563232422,2004-01-06
27.042667388916016,2004-01-07
27.521808624267578,2004-01-08
27.633405685424805,2004-01-09
28.197860717773438,2004-01-12
28.26350975036621,2004-01-13
28.486690521240234,2004-01-14
28.42760467529297,2004-01-15
28.67703628540039,2004-01-16
28.08629035949707,2004-01-20
28.611404418945312,2004-01-21
28.237266540527344,2004-01-22
28.007543563842773,2004-01-23
28.460430145263672,2004-01-26
28.381664276123047,2004-01-27
28.16506004333496,2004-01-28
27.86311912536621,2004-01-29
28.49981117248535,2004-01-30
28.611404418945312,2004-02-02
28.782058715820312,2004-02-03
28.526063919067383,2004-02-04
29.569704055786133,2004-02-05
29.274335861206055,2004-02-06
29.261219024658203,2004-02-09
29.110246658325195,2004-02-10
29.32030487060547,2004-02-11
29.589399337768555,2004-02-12
29.628761291503906,2004-02-13
29.405603408813477,2004-02-17
29.339969635009766,2004-02-18
29.0577335357666,2004-02-19
29.195579528808594,2004-02-20
28.992095947265625,2004-02-23
28.768917083740234,2004-02-24
28.591705322265625,2004-02-25
28.722986221313477,2004-02-26
29.510635375976562,2004-02-27
29.274335861206055,2004-03-01
29.208696365356445,2004-03-02
29.700984954833984,2004-03-03
29.55002212524414,2004-03-04
29.609079360961914,2004-03-05
29.543453216552734,2004-03-08
29.169313430786133,2004-03-09
28.82143783569336,2004-03-10
28.151941299438477,2004-03-11
28.9986572265625,2004-03-12
27.922199249267578,2004-03-15
28.040334701538086,2004-03-16
28.447290420532227,2004-03-17
28.099424362182617,2004-03-18
27.869686126708984,2004-03-19
27.561195373535156,2004-03-22
27.699039459228516,2004-03-23
27.338035583496094,2004-03-24
27.731857299804688,2004-03-25
27.790931701660156,2004-03-26
28.377721786499023,2004-03-29
28.292024612426758,2004-03-30
28.12717628479004,2004-03-31
28.390918731689453,2004-04-01
29.03706932067871,2004-04-02
29.617263793945312,2004-04-05
29.57113265991211,2004-04-06
29.557937622070312,2004-04-07
29.670034408569336,2004-04-08
30.157930374145508,2004-04-12
29.927165985107422,2004-04-13
28.885400772094727,2004-04-14
28.535968780517578,2004-04-15
28.582122802734375,2004-04-16
28.51620864868164,2004-04-19
27.929391860961914,2004-04-20
28.021692276000977,2004-04-21
28.681013107299805,2004-04-22
28.41729736328125,2004-04-23
28.120590209960938,2004-04-26
28.489818572998047,2004-04-27
29.274433135986328,2004-04-28
29.485395431518555,2004-04-29
28.905197143554688,2004-04-30
28.87882423400879,2004-05-03
28.615083694458008,2004-05-04
28.489818572998047,2004-05-05
28.27884292602539,2004-05-06
27.579944610595703,2004-05-07
26.887632369995117,2004-05-10
27.441469192504883,2004-05-11
27.164562225341797,2004-05-12
27.296411514282227,2004-05-13
27.283239364624023,2004-05-14
26.84147834777832,2004-05-17
26.782136917114258,2004-05-18
26.630496978759766,2004-05-19
26.149181365966797,2004-05-20
27.151382446289062,2004-05-21
27.190935134887695,2004-05-24
27.513999938964844,2004-05-25
27.487625122070312,2004-05-26
27.362356185913086,2004-05-27
27.151382446289062,2004-05-28
27.56015396118164,2004-06-01
27.56015396118164,2004-06-02
27.626096725463867,2004-06-03
27.870046615600586,2004-06-04
28.351354598999023,2004-06-07
28.28542709350586,2004-06-08
27.968948364257812,2004-06-09
27.678831100463867,2004-06-10
27.513999938964844,2004-06-14
27.53378677368164,2004-06-15
27.698617935180664,2004-06-16
28.074432373046875,2004-06-17
27.955759048461914,2004-06-18
28.12717628479004,2004-06-21
28.100799560546875,2004-06-22
28.193113327026367,2004-06-23
28.252452850341797,2004-06-24
28.153560638427734,2004-06-25
28.047544479370117,2004-06-28
27.954774856567383,2004-06-29
28.01441764831543,2004-06-30
